nombre_farmacia,calle,numero,colonia,ciudad,codigo_postal,latitud,longitud
IZTACALCO 4,CIUDAD DE MEXICO,159,JARDINES TECMA,CIUDAD DE MEXICO,08920,19.38851,-99.11565
IZTACALCO 5,CIUDAD DE MEXICO,860,AMPLICACION GABRIEL RAMOS MILLAN,CIUDAD DE MEXICO,08020,19.3846,-99.09431
IZTAPALAPA 1,CIUDAD DE MEXICO,MZ 185,2DA. AMPLIACION DE SANTIAGO ACAHUALTEPEC,CIUDAD DE MEXICO,09609,19.34932,-99.01157
IZTAPALAPA 6,CIUDAD DE MEXICO,2613,SANTA MARTHA ACATITLA SUR,CIUDAD DE MEXICO,09530,19.37315,-99.01753
IZTAPALAPA 9,CIUDAD DE MEXICO,L-1,XALPA,CIUDAD DE MEXICO,09640,19.34494,-99.01403
JALTIPAN 2,JALTIPAN,219,JALTIPAN DE MORELOS CENTRO,JALTIPAN,96200,17.96487,-94.71848
JALTIPAN 3,JALTIPAN,707-A,CENTRO,JALTIPAN,96200,17.96219,-94.71722
JAMAICA,CIUDAD DE MEXICO,103,ARTES GRAFICAS,CIUDAD DE MEXICO,15830,19.40914,-99.12341
"JAMAPA 1, VER",JAMAPA,S/N,JAMAPA,JAMAPA,94260,19.03994,-96.24133
JAMAY 1,JAMAY,258,CENTRO,JAMAY,47900,20.29104,-102.7067
JARDIN BALBUENA,CIUDAD DE MEXICO,854,JARDIN BALBUENA,CIUDAD DE MEXICO,15900,19.4187,-99.10632
JARDIN BALBUENA 2,CIUDAD DE MEXICO,14,JARDIN BALBUENA,CIUDAD DE MEXICO,15900,19.42633,-99.11112
"JIQUILPAN 2, MCH",JIQUILPAN,10,JIQUILPAN DE JUAREZ CENTRO,JIQUILPAN,59510,19.99151,-102.7184
"JIQUILPAN, MCH",JIQUILPAN,114,JIQUILPAN DE JUAREZ CENTRO,JIQUILPAN,59510,19.99021,-102.7194
JIQUIPILAS 1,JIQUIPILAS,S/N,CENTRO,JIQUIPILAS,30430,16.66798,-93.65067
"JORGE NEGRETE, GUSTAVO A MADERO",CIUDAD DE MEXICO,S/N,JORGE NEGRETE,CIUDAD DE MEXICO,07280,19.52711,-99.14433
JOSE A COALLA (ABASTOS),MEXICO,540,CENTRAL DE ABASTO,MEXICO,09040,0.0,0.0
"JUAN GONZALEZ ROMERO, GUSTAVO A MADERO",CIUDAD DE MEXICO,13,JUAN GONZALEZ ROMERO,CIUDAD DE MEXICO,07410,19.50697,-99.09018
JUAREZ NUEVO LEON,JUAREZ,102,HEROE DE NACOZARI,JUAREZ,67288,25.63703,-100.179
JUAREZ NUEVO LEON 2,JUAREZ,L154 M134,FRACCIONAMIENTO DE LA CIUDADELA SECTORREAL DE SAN JOSE 3ERA ETAPA,JUAREZ,67262,25.6501,-100.0844
JUAREZ NUEVO LEON 3,JUAREZ,399,LOS COMETAS,JUAREZ,67280,25.61012,-100.1533
JUAREZ NUEVO LEON 4,JUAREZ,L2,PORTAL DE VAQUERIAS,JUAREZ,67280,25.63795,-100.1475
"JUCHIQUE DE FERRER, VER",JUCHIQUE DE FERRER,S/N,JUCHIQUE DE FERRER,JUCHIQUE DE FERRER,91440,19.84149,-96.69436
"LA MAGDALENA, EDO DE MEX.",LOS REYES ACAQUILPAN (LA PAZ),20,LA MAGDALENA ATLICPAC,LOS REYES ACAQUILPAN (LA PAZ),56525,19.3675,-98.9488
LA RAZA,CIUDAD DE MEXICO,14,LA RAZA,CIUDAD DE MEXICO,02990,19.46497,-99.14594
LA VIGA,CIUDAD DE MEXICO,1852,MEXICALTZINGO,CIUDAD DE MEXICO,09099,19.35817,-99.12169
LA VILLA,CIUDAD DE MEXICO,10,TEPEYAC INSURGENTES,CIUDAD DE MEXICO,07020,19.48547,-99.11932
"LAS VIGAS DE RAMIREZ, VER.",LAS VIGAS DE RAMIREZ,17,BARRIO DE DOLORES,LAS VIGAS DE RAMIREZ,91330,19.63766,-97.09545
LEON 10,LEON,212,EL CORTIJO,LEON,37250,21.1358,-101.6622
LEON 11,LEON,239,SAN MIGUEL,LEON,37530,21.10254,-101.6864
LEON 12,LEON,1807,MODERNA,LEON,37328,21.13584,-101.6874
LEON 13,LEON,1302,GUADALUPE,LEON,37380,21.10937,-101.6888
LEON 14,LEON,2004,SANTA CLARA,LEON,37470,21.10036,-101.6729
LEON 15,LEON,117,CENTRO,LEON,37000,21.11926,-101.6822
LEON 16,LEON,1230,HIDALGO,LEON,37220,21.14538,-101.6725
LEON 17,LEON,4802,JARDINES DE JEREZ,LEON,37530,21.10359,-101.6399
LEON 18,LEON,4203,AZTECAS,LEON,37520,21.10109,-101.6481
LEON 19,LEON,214,INDUSTRIAL,LEON,37340,21.13255,-101.6924
LEON 20,LEON,153,OBRERA,LEON,37340,21.12451,-101.6861
LEON 21,LEON,104,CENTRO,LEON,37000,21.12151,-101.6809
LEON 22,LEON,2807-A,EJIDO LA JOYA,LEON,37358,21.13516,-101.7222
LEON 23,LEON,1611,EL TLACUACHE,LEON,37500,21.09802,-101.6593
LEON 24,LEON,126,BRISAS DEL CAMPO,LEON,37297,21.11193,-101.6158
LEON 25,LEON,408,FRACCIONAMIENTO CUMBRES DE LA GLORIA IV,LEON,37433,21.08919,-101.7626
LEON 4,LEON,6102,JARDINES DE JEREZ,LEON,37530,21.09762,-101.6451
LEON 5,LEON,2503,REAL PROVIDENCIA,LEON,37234,21.13318,-101.659
LEON 6,LEON,3202,KENNEDY,LEON,37410,21.1173,-101.7062
LEON 7,LEON,14,COECILLO,LEON,37260,21.12035,-101.6625
LEON 8,LEON,1438,COECILLO,LEON,37260,21.12893,-101.6685
LEON 9,LEON,2702,SAN FELIPE DE JESUS,LEON,37250,21.12979,-101.6535
LOMAS ESTRELLA,CIUDAD DE MEXICO,4546,GRANJAS ESTRELLA,CIUDAD DE MEXICO,09880,19.3219,-99.09287
LOPEZ,CIUDAD DE MEXICO,163,CENTRO,CIUDAD DE MEXICO,06070,19.42758,-99.14305
LORENZO BOTURINI,CIUDAD DE MEXICO,1703,24 DE ABRIL,CIUDAD DE MEXICO,15980,19.41664,-99.11661
"LOS REYES 2, MCH",LOS REYES,S/N,JARDIN,LOS REYES,60350,19.59448,-102.4764
"LOS REYES 3, MCH",LOS REYES,S/N,LOS REYES DE SALGADO CENTRO,LOS REYES,60300,19.5904,-102.4742
"LOS REYES 4, MCH",LOS REYES,108,CENTRO,LOS REYES,60300,19.58524,-102.4749
"LOS REYES 5, MCH",LOS REYES DE SALGADO,39,CENTRO,LOS REYES DE SALGADO,60300,19.59359,-102.4718
